Dates,Mean
2021-07-27,37.74970588
2021-07-28,20.66
2021-07-29,25.97264706
2021-07-30,33.70764706
2021-07-31,26.25558824
2021-08-01,33.59371429
2021-08-02,42.95171429
2021-08-03,28.624
2021-08-04,25.78942857
2021-08-05,39.126
2021-08-06,46.40885714
2021-08-07,45.61285714
2021-08-08,47.58771429
2021-08-09,52.45428571
2021-08-10,41.26657143
2021-08-11,32.92628571
2021-08-12,32.71088235
2021-08-13,33.108
2021-08-14,32.12228571
2021-08-15,33.06029412
2021-08-16,37.88485714
2021-08-17,51.36657143
2021-08-18,61.19
2021-08-19,76.70971429
2021-08-20,38.54142857
2021-08-21,24.09371429
2021-08-22,33.66914286
2021-08-23,36.568
2021-08-24,48.13314286
2021-08-25,36.15914286
2021-08-26,32.84571429
2021-08-27,44.71485714
2021-08-28,48.76428571
2021-08-29,53.09942857
2021-08-30,25.41485714
2021-08-31,23.02971429
2021-09-01,24.03857143
2021-09-02,29.85828571
2021-09-03,26.546
2021-09-04,29.05571429
2021-09-05,42.24029412
2021-09-06,53.34314286
2021-09-07,41.67485714
2021-09-08,23.88617647
2021-09-09,31.51529412
2021-09-10,33.52371429
2021-09-11,20.77342857
2021-09-12,29.45257143
2021-09-13,37.79428571
2021-09-14,26.81771429
2021-09-15,20.24342857
2021-09-16,24.60857143
2021-09-17,24.17342857
2021-09-18,32.11264706
2021-09-19,31.865
2021-09-20,30.97
2021-09-21,31.42514286
2021-09-22,27.936
2021-09-23,25.84142857
2021-09-24,26.35228571
2021-09-25,35.00228571
2021-09-26,37.53828571
2021-09-27,54.968
2021-09-28,46.344
2021-09-29,31.77771429
2021-09-30,36.29228571
2021-10-01,51.366
2021-10-02,55.884
2021-10-03,37.20657143
2021-10-04,31.41971429
2021-10-05,40.50571429
2021-10-06,49.20285714
2021-10-07,65.53314286
2021-10-08,71.70742857
2021-10-09,67.45485714
2021-10-10,64.66971429
2021-10-11,66.44085714
2021-10-12,70.64571429
2021-10-13,77.98542857
2021-10-14,75.94428571
2021-10-15,92.44285714
2021-10-16,160.6639394
2021-10-17,118.5568571
2021-10-18,18.58
2021-10-19,53.85542857
2021-10-20,99.36142857
2021-10-21,72.38285714
2021-10-22,56.56314286
2021-10-23,65.88371429
2021-10-24,65.59617647
2021-10-25,42.08970588
2021-10-26,70.33805556
